Ciudad,Comentario,Categoría del problema,Categoria_Numerica,Nuevo Nivel de Urgencia,Fecha del reporte
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 05 16
medellin,queremos mas presencia policial,Seguridad,3,1,2024 04 21
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 01 09
santa marta,queremos mas presencia policial,Seguridad,3,2,2024 01 30
bucaramanga,faltan medicos en el centro de salud,Salud,1,1,2024 08 26
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 19
bogota,queremos mas presencia policial,Seguridad,3,1,2024 01 18
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 02 05
santa marta,no hay suficientes escuelas publicas,Educación,2,2,2024 10 21
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 11 25
barranquilla,no hay suficientes escuelas publicas,Educación,2,4,2024 01 28
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 02 28
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 08 17
barranquilla,queremos mas presencia policial,Seguridad,3,3,2023 11 17
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 07 06
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 01 15
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 11 19
cali,no hay suficientes escuelas publicas,Educación,2,4,2023 11 12
manizales,queremos mas presencia policial,Seguridad,3,4,2024 09 28
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 06 28
manizales,falta agua potable en varias casas,Salud,1,4,2024 03 25
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 20
pereira,queremos mas presencia policial,Seguridad,3,2,2024 06 30
bogota,faltan medicos en el centro de salud,Salud,1,2,2023 08 24
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 01 27
cartagena,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 05 21
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 10 14
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 05 25
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2023 07 11
bogota,falta agua potable en varias casas,Salud,1,4,2024 11 20
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 01 17
,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 08 10
pereira,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 03 11
manizales,no hay suficientes escuelas publicas,Educación,2,2,2024 11 04
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 07 13
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 09 26
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 05 05
manizales,faltan medicos en el centro de salud,Salud,1,1,2024 07 10
barranquilla,queremos mas presencia policial,Seguridad,3,4,2024 04 15
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 05 07
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 09 02
medellin,queremos mas presencia policial,Seguridad,3,3,2023 06 14
bogota,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 12 19
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 08 24
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 06 30
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 02 10
bogota,no hay suficientes escuelas publicas,Educación,2,1,2024 10 17
barranquilla,falta agua potable en varias casas,Salud,1,4,2023 06 11
bucaramanga,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 09 13
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 01 19
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 01 21
barranquilla,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 11 03
medellin,no hay suficientes escuelas publicas,Educación,2,4,2023 09 06
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 08 21
pereira,faltan medicos en el centro de salud,Salud,1,1,2024 01 07
pereira,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 08 06
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 07 20
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 02 19
manizales,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 10 23
medellin,no hay suficientes escuelas publicas,Educación,2,4,2024 11 08
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 04 22
cucuta,faltan medicos en el centro de salud,Salud,1,1,2024 08 19
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 03 25
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 09 23
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 04 19
barranquilla,falta agua potable en varias casas,Salud,1,2,2024 10 12
cali,faltan medicos en el centro de salud,Salud,1,2,2024 05 06
bogota,falta agua potable en varias casas,Salud,1,1,2023 09 30
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 03 26
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 04 29
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 03 21
cartagena,faltan medicos en el centro de salud,Salud,1,1,2023 10 05
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 04 26
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 07 27
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 06 18
cali,falta agua potable en varias casas,Salud,1,4,2024 08 18
bucaramanga,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 06 08
bogota,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 11 29
medellin,no hay suficientes escuelas publicas,Educación,2,3,2023 04 08
santa marta,no hay suficientes escuelas publicas,Educación,2,1,2024 04 18
bucaramanga,no hay suficientes escuelas publicas,Educación,2,3,2024 10 22
bogota,falta agua potable en varias casas,Salud,1,4,2024 03 22
bucaramanga,faltan medicos en el centro de salud,Salud,1,3,2024 07 25
pereira,no tenemos centros culturales ni bibliotecas,Educación,2,1,2023 05 17
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2024 06 28
manizales,falta agua potable en varias casas,Salud,1,4,2024 07 27
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2024 01 02
barranquilla,no tenemos centros culturales ni bibliotecas,Educación,2,4,2024 09 14
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 05 14
pereira,no hay suficientes escuelas publicas,Educación,2,1,2024 02 08
santa marta,queremos mas presencia policial,Seguridad,3,4,2023 01 07
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 07 25
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 04 02
cartagena,no hay suficientes escuelas publicas,Educación,2,1,2024 02 05
medellin,faltan medicos en el centro de salud,Salud,1,4,2023 04 09
cartagena,faltan medicos en el centro de salud,Salud,1,1,2023 09 16
medellin,queremos mas presencia policial,Seguridad,3,1,2023 09 10
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 08 31
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2024 04 02
santa marta,no hay suficientes escuelas publicas,Educación,2,4,2024 05 02
cartagena,falta agua potable en varias casas,Salud,1,2,2024 08 03
cali,faltan medicos en el centro de salud,Salud,1,2,2024 05 28
pereira,no hay suficientes escuelas publicas,Educación,2,3,2024 08 18
cucuta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 03 14
manizales,no hay suficientes escuelas publicas,Educación,2,3,2023 10 24
pereira,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 06 12
cali,faltan medicos en el centro de salud,Salud,1,2,2024 04 20
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,4,2023 04 16
bucaramanga,no hay suficientes escuelas publicas,Educación,2,4,2023 04 22
bogota,necesitamos mas acceso a internet en la zona,Educación,2,3,2023 09 19
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 01 03
,no hay suficientes escuelas publicas,Educación,2,2,2023 03 07
medellin,falta agua potable en varias casas,Salud,1,1,2024 10 01
medellin,faltan medicos en el centro de salud,Salud,1,2,2024 05 06
barranquilla,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 08 24
manizales,necesitamos mas acceso a internet en la zona,Educación,2,1,2024 07 18
pereira,queremos mas presencia policial,Seguridad,3,4,2023 01 10
pereira,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 03 31
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 07 09
pereira,falta agua potable en varias casas,Salud,1,1,2023 11 26
manizales,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 11 15
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 08 04
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 10 12
manizales,faltan medicos en el centro de salud,Salud,1,4,2023 03 29
manizales,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2024 07 26
,falta agua potable en varias casas,Salud,1,1,2023 01 27
cartagena,queremos mas presencia policial,Seguridad,3,4,2023 10 11
manizales,no hay suficientes escuelas publicas,Educación,2,2,2024 09 19
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 06 20
manizales,necesitamos mas acceso a internet en la zona,Educación,2,2,2023 06 09
medellin,faltan medicos en el centro de salud,Salud,1,3,2024 02 29
cartagena,faltan medicos en el centro de salud,Salud,1,3,2024 03 27
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,2,2024 08 16
bogota,faltan medicos en el centro de salud,Salud,1,2,2024 09 26
barranquilla,no hay suficientes escuelas publicas,Educación,2,2,2023 10 16
cucuta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 01 20
cucuta,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 03 02
cali,no tenemos centros culturales ni bibliotecas,Educación,2,3,2024 03 01
santa marta,no hay suficientes escuelas publicas,Educación,2,2,2023 04 09
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 08 08
bucaramanga,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 05 17
pereira,no hay suficientes escuelas publicas,Educación,2,4,2024 06 27
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2023 05 09
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 05 04
cartagena,hay problemas con la recoleccion de basura,Medio Ambiente,4,2,2024 10 21
,falta agua potable en varias casas,Salud,1,3,2023 07 03
bogota,falta agua potable en varias casas,Salud,1,3,2023 10 01
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2023 02 18
santa marta,falta agua potable en varias casas,Salud,1,2,2023 08 18
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 04 10
bucaramanga,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2024 05 07
cucuta,faltan medicos en el centro de salud,Salud,1,3,2023 02 27
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2024 05 19
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2023 02 09
cali,no hay suficientes escuelas publicas,Educación,2,1,2023 06 28
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 05 30
santa marta,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 11 23
santa marta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 05 23
barranquilla,faltan medicos en el centro de salud,Salud,1,3,2024 08 15
santa marta,no tenemos centros culturales ni bibliotecas,Educación,2,3,2023 04 24
medellin,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 01 18
cartagena,queremos mas presencia policial,Seguridad,3,1,2024 03 05
cucuta,queremos mas presencia policial,Seguridad,3,3,2023 04 23
barranquilla,no hay suficientes escuelas publicas,Educación,2,1,2024 11 13
cucuta,queremos mas presencia policial,Seguridad,3,3,2024 06 29
medellin,no hay suficientes escuelas publicas,Educación,2,1,2023 05 17
manizales,faltan medicos en el centro de salud,Salud,1,1,2023 12 06
pereira,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 07 24
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 04 24
medellin,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 05 27
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2024 06 11
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 09 30
manizales,falta agua potable en varias casas,Salud,1,3,2024 08 29
cucuta,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 02 24
santa marta,no hay suficientes escuelas publicas,Educación,2,1,2023 07 11
pereira,faltan medicos en el centro de salud,Salud,1,2,2023 01 10
cartagena,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 05 30
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 06 27
barranquilla,no hay suficientes escuelas publicas,Educación,2,4,2024 03 01
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 07 06
pereira,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 11 08
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,3,2023 01 27
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 11 30
santa marta,necesitamos mas acceso a internet en la zona,Educación,2,2,2024 02 12
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,2,2024 10 10
medellin,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2023 11 13
manizales,queremos mas presencia policial,Seguridad,3,1,2023 12 08
manizales,falta agua potable en varias casas,Salud,1,1,2023 04 05
cucuta,falta agua potable en varias casas,Salud,1,3,2023 08 01
bucaramanga,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2024 02 15
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2024 03 31
bucaramanga,faltan medicos en el centro de salud,Salud,1,4,2024 03 25
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 10 02
pereira,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2024 05 08
medellin,falta agua potable en varias casas,Salud,1,1,2024 08 04
cali,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 03 23
manizales,faltan medicos en el centro de salud,Salud,1,3,2023 09 05
bogota,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 11 09
pereira,no hay suficientes escuelas publicas,Educación,2,1,2023 07 18
bogota,no tenemos centros culturales ni bibliotecas,Educación,2,1,2024 05 01
medellin,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 07 03
bogota,falta agua potable en varias casas,Salud,1,4,2023 03 13
cucuta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2024 04 05
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 04 01
cali,necesitamos mas acceso a internet en la zona,Educación,2,3,2024 07 20
manizales,hay problemas con la recoleccion de basura,Medio Ambiente,4,4,2024 04 12
cali,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 11 23
medellin,falta agua potable en varias casas,Salud,1,2,2024 06 08
cartagena,la contaminacion del rio esta aumentando,Medio Ambiente,4,2,2023 11 19
cali,queremos mas presencia policial,Seguridad,3,3,2023 05 13
bogota,la contaminacion del rio esta aumentando,Medio Ambiente,4,3,2023 12 29
bucaramanga,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2023 05 20
santa marta,faltan medicos en el centro de salud,Salud,1,4,2024 09 03
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,4,2023 10 21
barranquilla,falta agua potable en varias casas,Salud,1,1,2023 11 25
pereira,falta agua potable en varias casas,Salud,1,2,2024 10 24
manizales,las basuras no se recogen a tiempo,Medio Ambiente,4,3,2024 03 12
medellin,las basuras no se recogen a tiempo,Medio Ambiente,4,1,2023 12 21
cartagena,las calles estan muy oscuras y peligrosas,Seguridad,3,3,2024 04 01
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2024 05 08
barranquilla,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 03 14
barranquilla,necesitamos mas acceso a internet en la zona,Educación,2,4,2023 05 07
cartagena,las basuras no se recogen a tiempo,Medio Ambiente,4,2,2023 10 05
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,1,2024 06 16
,necesitamos mas acceso a internet en la zona,Educación,2,1,2023 04 13
santa marta,hay problemas con la recoleccion de basura,Medio Ambiente,4,1,2023 09 25
,no hay suficientes escuelas publicas,Educación,2,3,2023 03 24
barranquilla,faltan medicos en el centro de salud,Salud,1,2,2024 01 10
cucuta,la contaminacion del rio esta aumentando,Medio Ambiente,4,4,2023 06 26
cali,las calles estan muy oscuras y peligrosas,Seguridad,3,4,2023 01 19
